eBooks by Title,,,,,,,,,,,
Reporting Period From 01/01/2020 to 31/12/2020,,,,,,,,,,,
Rank,Title,,Author,ISBN,Category,Fiction/Non-Fiction,Genre,,Publisher,Released,Loans
61,Eva's Journey,,Judi Curtin,9.78185E+12,Children,Fiction,"Children's Fiction, Young Adult ",,The O'Brien ,21/04/2014,52
63,Are You Sleeping,,Kathleen Barber,9.78151E+12,Adult,Fiction,"Crime & Thriller, Psychological ",,Pan,01/08/2017,51
63,Three Women,,Lisa Taddeo,9.78153E+12,Adult,Non-Fiction,"Biography, Law, Philosophy, ",,Bloomsbury ,09/07/2019,51
63,Apeirogon,,Colum McCann,9.78153E+12,Adult,Fiction,"Contemporary Fiction, Family ",,Bloomsbury ,25/02/2020,51
66,Handmaid's Tale,,Margaret Atwood,9.78145E+12,Adult,Fiction,Literary Fiction,,Vintage Digital,15/05/2012,50
66,Gallows View,,Peter Robinson,9.78033E+12,Adult,Fiction,Police Drama & Forensics,,Pan,21/08/2009,50
66,Stranger Upstairs,,Melanie Raabe,9.78151E+12,Adult,Fiction,"Crime & Thriller, General Fiction",,Mantle,06/09/2018,50
69,Little Deaths,,Emma Flint,9.78151E+12,Adult,Fiction,"Contemporary Fiction, Mystery",,Picador,12/01/2017,49
69,Whose Life Are You Living?,,Tony Humphreys,9.78072E+12,Adult,Fiction,"Mind, Body & Spirit, Psychology, ",,Newleaf,27/06/2014,49
69,Stepsister,,Jennifer Donnelly,9.78147E+12,Young Adult,Fiction,"Fables & Fairytales, Fairytales, ",,Hot Key Books,15/05/2019,49
69,Wilde Like Me,,Louise Pentland,9.78179E+12,Adult,Fiction,"Contemporary, Contemporary ",,Zaffre,29/06/2017,49
69,Tell Me A Lie,,CJ Carver,9.78179E+12,Adult,Fiction,"Australian Fiction, Detective, Police ",,Zaffre,12/01/2017,49
69,Crimson Petal And The White,,Michel Faber,9.78185E+12,Adult,Fiction,Historical Fiction,,Canongate Books,10/04/2002,49
75,Sun Sister,,Lucinda Riley,9.78151E+12,Adult,Fiction,"Contemporary, Contemporary ",,Macmillan,31/10/2019,48
75,Girl From Vichy,,Andie Newton,9.78179E+12,Adult,Fiction,"General Fiction, Historical, ",,Aria,13/08/2020,48
75,Little Shop on Floral Street,,Jane Lacey-Crane,9.78179E+12,Adult,Fiction,"General Fiction, Satire",,Aria,13/08/2020,48
78,Subtle Art of Not Giving a F*ck,,Mark Manson,9.78006E+12,Adult,Non-Fiction,Self Help,,HarperOne,13/09/2016,47
78,Muse,,Jessie Burton,9.78145E+12,Adult,Fiction,"General Fiction, Historical Fiction, ",,Picador,30/06/2016,47
80,Secret GP,,Dr Max Skittle,9.78179E+12,Adult,Non-Fiction,"Biography, Memoirs",,535,18/06/2020,46
81,This is Going to Hurt,,Adam Kay,9.78151E+12,Adult,Non-Fiction,"Comedy, Medicine, Memoirs, ",,Picador,07/09/2017,45
81,Mr Holmes,,Mitch Cullin,9.78178E+12,Adult,Fiction,Crime & Thriller,,Canongate Books,01/05/2014,45
81,Last Seen Wearing,,Colin Dexter,9.78033E+12,Adult,Fiction,"Detective, Mystery",,Pan,01/02/2015,45
84,Curious Heart of Ailsa Rae,,Stephanie Butland,9.78179E+12,Adult,Fiction,"Contemporary, Contemporary ",,Zaffre,19/04/2018,44
84,Milkman,,Anna Burns,9.78057E+12,Adult,Fiction,Contemporary Fiction,,Faber & Faber,15/05/2018,44
86,Atomic Habits,,James Clear,9.78147E+12,Adult,Non-Fiction,Self Help,,Cornerstone ,01/02/2019,43
86,Long Road to Mercy,,David Baldacci,9.78151E+12,Adult,Fiction,Detective,,Macmillan,15/11/2018,43
86,Such a Fun Age,,Kiley Reid,9.78153E+12,Adult,Fiction,"American Fiction, Humorous ",,Bloomsbury ,07/01/2020,43
86,Guesthouse,,Abbie Frost,9.78001E+12,Adult,Fiction,"Crime & Thriller, Horror, Literary ",,HarperCollins,21/11/2019,43
86,Nemesis,,Rory Clements,9.78179E+12,Adult,Fiction,"Historical Fiction, Spy & Espionage",,Zaffre,24/01/2019,43
86,Love Will Tear Us Apart,,Holly Seddon,9.78179E+12,Adult,Fiction,"Contemporary Fiction, Crime & ",,Corvus,07/06/2018,43
92,Educated,,Tara Westover,9.78147E+12,Adult,Non-Fiction,"Biography, Memoirs, Self ",,Cornerstone ,01/06/2018,42
92,Redemption,,David Baldacci,9.78151E+12,Adult,Fiction,Detective,,Macmillan,18/04/2019,42
92,Spare Me the Truth,,CJ Carver,9.78179E+12,Adult,Fiction,"Australian Fiction, Detective, Police ",,Zaffre,07/04/2016,42
92,69 Ways to Please Your Lover,,Nicole Bailey,9.78185E+12,Adult,Non-Fiction,"Self Help, Sex & Sexuality",,Watkins,22/09/2016,42
92,Pillars of the Earth,,Ken Follett,9.78033E+12,Adult,Fiction,"British Fiction, Classic Fiction, ",,Pan,01/02/2016,42
97,House Next Door,,James Patterson,9.78147E+12,Adult,Fiction,Crime & Thriller,,Cornerstone ,08/04/2019,41
97,Importance of Being Aisling,,"Emer McLysaght, Sarah Breen",9.78072E+12,Adult,Fiction,"Contemporary, Social Science",,Gill Books,21/09/2018,41
97,City of Girls,,Elizabeth Gilbert,9.78141E+12,Adult,Fiction,Historical Fiction,,Bloomsbury ,04/06/2019,41
97,Shelf,,Helly Acton,9.78184E+12,Adult,Fiction,"Comedy, Contemporary Fiction, ",,Zaffre,18/06/2020,41
97,Wolf Hall,,Hilary Mantel,9.78001E+12,Adult,Fiction,Historical Fiction,,Fourth Estate,01/04/2014,41
